OrderID,Date,CustomerName,Product,Category,Region,Quantity,Price,TotalSales
1001,2026-01-01,Alice,Laptop,Electronics,North,1,1200,1200
1002,2026-01-02,Bob,Shirt,Clothing,West,2,25,50
1003,,Charlie,Laptop,Electronics,East,1,1200,1200
1004,2026-01-03,Alice,Shoes,Clothing,North,,50,0
1002,2026-01-02,Bob,Shirt,Clothing,West,2,25,50
1005,2026-01-04,David,Headphones,electronics,South,3,100,300
1006,2026-01-05,Eva,Laptop,Electronics,West,1,,1200
1007,2026-01-06,Frank,Jeans,Clothing,East,2,60,120
1008,2026-01-06,Grace,TV,Electronics,North,1,800,800
1009,2026-01-07,Henry,Socks,Clothing,West,5,10,50
1010,2026-01-08,Ivy,Backpack,Home & Kitchen,East,1,45,45
1011,2026-01-09,Jack,Blender,Home & Kitchen,South,1,150,150
1012,,Kevin,Shirt,Clothing,North,3,25,75
1013,2026-01-11,Leo,Laptop,Electronics,West,1,1200,1200
1014,2026-01-12,Mia,Shoes,Clothing,East,,50,100
1015,2026-01-13,Noah,Headphones,electronics,South,2,100,200
1016,2026-01-14,Olivia,Jeans,Clothing,North,1,60,60
1017,2026-01-15,Peter,TV,Electronics,West,1,800,800
1018,2026-01-16,Quinn,Socks,clothing,East,10,10,100
1019,2026-01-17,Rachel,Backpack,Home & Kitchen,South,2,45,90
1020,2026-01-18,Sam,Blender,Home & Kitchen,North,1,,150
1021,2026-01-19,Tom,Shirt,Clothing,West,4,25,100
1022,2026-01-20,Ursula,Laptop,Electronics,East,1,1200,1200
1023,2026-01-21,Victor,Shoes,Clothing,South,1,50,50
1024,2026-01-22,Wendy,Headphones,Electronics,North,2,100,200
1025,2026-01-23,Xavier,Jeans,Clothing,West,2,60,120
1024,2026-01-22,Wendy,Headphones,Electronics,North,2,100,200
1026,2026-01-24,Yara,TV,electronics,East,1,800,800
1027,2026-01-25,Zane,Socks,Clothing,South,3,10,30
1028,,Alice,Backpack,Home & Kitchen,North,1,45,45
1029,2026-01-27,Bob,Blender,Home & Kitchen,West,2,150,300
1030,2026-01-28,Charlie,Shirt,Clothing,East,2,25,50
1031,2026-01-29,David,Laptop,Electronics,South,1,1200,1200
1032,2026-01-30,Eva,Shoes,Clothing,North,3,50,150
1033,2026-01-31,Frank,Headphones,Electronics,West,1,100,100
1034,2026-02-01,Grace,Jeans,Clothing,East,1,60,60
1035,2026-02-02,Henry,TV,Electronics,South,2,800,1600
1036,2026-02-03,Ivy,Socks,Clothing,North,6,10,60
1037,2026-02-04,Jack,Backpack,Home & Kitchen,West,1,45,45
1038,,Kevin,Blender,Home & Kitchen,East,1,150,150
1039,2026-02-06,Leo,Shirt,Clothing,South,2,25,50
1040,2026-02-07,Mia,Laptop,Electronics,North,1,1200,1200
1041,2026-02-08,Noah,Shoes,clothing,West,,50,250
1042,2026-02-09,Olivia,Headphones,Electronics,East,1,100,100
1043,2026-02-10,Peter,Jeans,Clothing,South,3,60,180
1044,2026-02-11,Quinn,TV,Electronics,North,1,800,800
1045,2026-02-12,Rachel,Socks,Clothing,West,8,10,80
1046,2026-02-13,Sam,Backpack,Home & Kitchen,East,2,45,90
1047,2026-02-14,Tom,Blender,Home & Kitchen,South,1,,150
1048,2026-02-15,Ursula,Shirt,Clothing,North,2,25,50
1049,2026-02-16,Victor,Laptop,electronics,West,1,1200,1200
1050,2026-02-17,Wendy,Shoes,Clothing,East,1,50,50
1049,2026-02-16,Victor,Laptop,electronics,West,1,1200,1200
1051,2026-02-18,Xavier,Headphones,Electronics,South,2,100,200
1052,2026-02-19,Yara,Jeans,Clothing,North,1,60,60
1053,2026-02-20,Zane,TV,Electronics,West,1,800,800
1054,,Alice,Socks,Clothing,East,4,10,40
1055,2026-02-22,Bob,Backpack,Home & Kitchen,South,1,45,45
1056,2026-02-23,Charlie,Blender,Home & Kitchen,North,2,150,300
1057,2026-02-24,David,Shirt,Clothing,West,3,25,75
